City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,beyneu,45.3167,55.2,8.65,59,99,3.25,KZ,1701747230
260,kabinda,-6.1333,24.4833,18.38,97,98,0.56,CD,1701747231
261,buckner,38.3837,-85.44,6.35,90,33,1.06,US,1701747232
262,old orchard beach,43.5173,-70.3775,1.25,87,100,2.57,US,1701747233
263,murzuq,25.9155,13.9184,11.65,61,0,3.34,LY,1701747234
264,tofol,5.3248,163.0078,28.88,84,75,7.72,FM,1701747235
265,medina de pomar,42.9294,-3.488,5.29,88,74,1.28,ES,1701747235
266,bemidji,47.4736,-94.8803,0.05,93,100,2.57,US,1701747055
267,port lincoln,-34.7333,135.8667,21.82,56,85,8.13,AU,1701747237
268,fort st. john,56.2499,-120.8529,0.94,86,100,4.12,CA,1701747169
269,hithadhoo,-0.6,73.0833,27.66,69,61,0.88,MV,1701747239
270,colares,38.7992,-9.4469,12.96,86,100,3.58,PT,1701747240
271,chaihe,44.7667,129.7,-3.88,90,91,1.82,CN,1701747240
272,kailua-kona,19.6406,-155.9956,26.98,78,40,3.6,US,1701747070
273,poronaysk,49.2167,143.1167,-1.72,72,11,1.48,RU,1701747242
274,magadan,59.5667,150.8,-24.8,90,7,3.64,RU,1701747243
275,paragominas,-2.9667,-47.4833,22.44,97,98,0.55,BR,1701747244
276,holualoa,19.6228,-155.9522,24.91,78,40,3.6,US,1701747245
277,santa marta de ortigueira,43.6833,-7.85,10.94,66,84,1.52,ES,1701747247
278,suntar,62.1444,117.6319,-38.96,95,76,3.17,RU,1701747248
279,kenai,60.5544,-151.2583,0.08,68,100,4.63,US,1701747249
280,zeya,53.75,127.2667,-12.51,89,100,4.41,RU,1701747250
281,liwale,-9.7667,37.9333,21.78,95,98,0.25,TZ,1701747251
282,saint-paul,-21.0096,55.2707,26.67,81,15,0.88,RE,1701747252
283,bardai,11.65,7.2333,19.27,22,15,3.74,NG,1701747253
284,kavieng,-2.5744,150.7967,28.58,77,59,5.66,PG,1701747254
285,gadzhiyevo,69.2551,33.3362,-9.86,94,98,3.03,RU,1701747255
286,ola,59.5833,151.2833,-25.37,89,40,2.85,RU,1701747256
287,jasper,37.2001,-94.3502,7.28,60,0,5.14,US,1701747257
288,chonchi,-42.6128,-73.8092,11.56,98,100,1.8,CL,1701747258
289,el charco,2.4769,-78.1105,24.69,93,54,0.99,CO,1701747259
290,napanee,44.2501,-76.9494,-0.5,93,41,2.95,CA,1701746987
291,kedougou,12.5579,-12.1743,23.01,27,0,1.15,SN,1701747261
292,artvin,41.1667,41.8333,7.47,80,95,0.78,TR,1701747262
293,naha,26.2125,127.6811,23.95,69,40,11.32,JP,1701747264
294,khusropur,25.4667,85.3833,22.02,42,100,2.61,IN,1701747265
295,carnarvon,-24.8667,113.6333,29.51,51,13,8.54,AU,1701747151
296,prince rupert,54.3161,-130.3201,9.83,87,100,11.32,CA,1701747267
297,vilyuysk,63.7553,121.6247,-42.22,99,60,1.79,RU,1701747269
298,ostersund,63.1792,14.6357,-20.75,84,49,0.0,SE,1701747221
299,georgetown,5.4112,100.3354,31.96,58,20,3.09,MY,1701747193
300,panaba,21.2833,-88.2667,23.02,94,98,3.06,MX,1701747272
301,port hedland,-20.3167,118.5667,36.03,52,1,6.69,AU,1701747273
302,severobaykal'sk,55.65,109.3167,-12.5,66,90,6.67,RU,1701747274
303,san felipe,10.3399,-68.7425,22.0,99,75,0.66,VE,1701747275
304,islaz,43.7333,24.75,-3.62,76,77,2.44,RO,1701747276
305,casilda,-33.0442,-61.1681,18.77,56,82,4.3,AR,1701747278
306,mineros,-17.1167,-63.2333,23.14,61,100,1.12,BO,1701747279
307,crane,31.3974,-102.3501,12.22,35,2,4.96,US,1701747280
308,hammerfest,70.6634,23.6821,-4.75,80,20,5.14,NO,1701747281
309,portmore,17.9702,-76.8672,28.98,85,20,4.12,JM,1701747282
310,noosa heads,-26.3833,153.15,30.19,71,14,5.42,AU,1701747283
311,antu,26.05,81.9167,22.51,49,71,2.97,IN,1701747284
312,puerto madero,14.7208,-92.4215,27.11,100,0,0.0,MX,1701747286
313,mayfield,36.7417,-88.6367,3.79,90,2,0.7,US,1701747287
314,price,39.5994,-110.8107,5.06,60,0,1.54,US,1701747288
315,lepsy,46.235,78.9456,2.6,55,85,2.31,KZ,1701747290
316,port blair,11.6667,92.75,27.02,83,75,1.03,IN,1701747291
317,borgarnes,64.5383,-21.9206,2.03,75,100,2.97,IS,1701747292
318,safi,32.1667,-8.8333,16.32,47,100,3.24,MA,1701747293
319,port macquarie,-31.4333,152.9167,27.72,59,0,5.05,AU,1701747247
320,antofagasta,-23.65,-70.4,17.6,76,35,1.72,CL,1701747294
321,tura,25.5198,90.2201,22.65,56,100,0.86,IN,1701747295
322,sisimiut,66.9395,-53.6735,-7.6,80,99,3.53,GL,1701747296
323,road town,18.4167,-64.6167,27.05,77,2,9.65,VG,1701747297
324,altus,34.6381,-99.334,8.06,50,0,3.09,US,1701747298
325,simanggang,1.2472,111.4528,26.99,89,20,2.06,MY,1701747299
326,kingston,17.997,-76.7936,28.53,86,20,4.12,JM,1701747212
327,tateyama,34.9833,139.8667,11.17,67,100,3.02,JP,1701747300
328,devarkonda,16.7,78.9333,22.06,82,100,8.27,IN,1701747301
329,nguigmi,14.2495,13.1092,22.27,23,100,5.15,NE,1701747302
330,igarra,7.2827,6.0878,22.9,85,1,1.04,NG,1701747303
331,fort saskatchewan,53.7168,-113.2187,0.58,83,100,2.06,CA,1701747067
332,haiku-pauwela,20.9219,-156.3051,22.87,90,40,6.17,US,1701747306
333,douglas,41.3,-96.167,5.23,80,0,4.12,US,1701747154
334,insar,53.8653,44.3738,-14.98,97,90,3.85,RU,1701747307
335,arkhangel'sk,64.5401,40.5433,-14.93,84,20,0.0,RU,1701747308
336,vilyuchinsk,52.9306,158.4028,-1.85,85,97,1.17,RU,1701747309
337,tual,-5.6667,132.75,28.69,74,99,2.1,ID,1701747310
338,tralee,52.2704,-9.7026,3.94,80,13,1.22,IE,1701747311
339,hilo,19.7297,-155.09,24.85,87,100,3.6,US,1701747047
340,betio village,1.358,172.9211,31.02,78,100,7.96,KI,1701747313
341,yingshang chengguanzhen,32.6295,116.2701,18.03,29,3,3.35,CN,1701747314
342,ust'-kulom,61.6864,53.6902,-16.84,93,100,3.29,RU,1701747315
343,vengerovo,55.6848,76.7471,-11.15,94,100,6.28,RU,1701747316
344,timmins,48.4669,-81.3331,-7.1,79,100,2.06,CA,1701747067
345,akureyri,65.6835,-18.0878,-13.04,85,0,1.54,IS,1701747319
346,dudinka,69.4058,86.1778,-30.74,98,98,0.89,RU,1701747320
347,jijel,36.8205,5.7667,12.97,82,75,1.54,DZ,1701747321
348,sanctuary point,-35.1114,150.629,31.1,43,1,3.42,AU,1701747322
349,mersing,2.4312,103.8405,27.32,82,100,1.69,MY,1701747323
350,saldanha,-33.0117,17.9442,16.03,84,23,6.64,ZA,1701747324
351,cabo san lucas,22.8909,-109.9124,24.17,69,0,2.06,MX,1701747064
352,changshu city,31.6462,120.7422,16.45,32,0,3.05,CN,1701747326
353,kerema,-7.9631,145.7785,29.33,75,76,3.45,PG,1701747327
354,howrah,22.5892,88.3103,25.0,61,75,7.2,IN,1701747327
355,yonezawa,37.9167,140.1167,8.82,58,100,0.88,JP,1701747329
356,hancheng,32.5186,112.3522,15.63,49,100,2.49,CN,1701747329
357,natal,-5.795,-35.2094,27.12,83,40,3.09,BR,1701747262
358,sitia,35.2,26.0986,16.1,77,21,2.32,GR,1701747331
359,laojunmiao,39.8333,97.7333,1.12,30,38,9.22,CN,1701747332
360,navapolatsk,55.5363,28.6424,-9.18,98,98,1.67,BY,1701747334
361,swift current,50.2834,-107.8014,-2.55,74,0,4.12,CA,1701747335
362,kalemie,-5.9475,29.1947,19.97,96,100,1.04,CD,1701747336
